"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.935562,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.766736,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.908162,
"HUN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.676691,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.39062,
"HUN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.500002,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.608006,
"CAN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.244057,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.286648,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.801419,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.27916,
"CAN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.139763,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.10899,
"CAN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-12,"P"
"ARG","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.066728,
"ARG","QGDP","TOT","PC_CHGPP","Q","2018-Q4",-1.02916,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.138138,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.377088,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.81587,
"ARG","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.902888,
"ARG","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.844255,
"SVN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.034701,
"SVN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.76974,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.54332,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.042489,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.772732,
"SVN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.41137,
"SVN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-4.531521,
"FIN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.128124,
"FIN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.335524,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.336369,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.413661,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.310432,
"FIN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.581961,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.900977,
"FIN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.19909,
"BRA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.425915,
"BRA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",-0.098595,
"BRA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.245005,
"BRA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.540624,
"BRA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.461792,
"BRA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.365461,
"BRA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.539416,
"NLD","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.22111,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.406568,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.506885,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.357658,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.330902,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.453475,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.494446,"P"
"NLD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.494284,"P"
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.525196,
"USA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.328321,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.725123,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.370716,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.636915,
"USA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.586232,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.262655,
"USA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.494716,
"SVK","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.959751,
"SVK","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.470908,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.634232,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.376288,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.399764,
"SVK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.605291,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.155602,
"SVK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.25715,"E"
"MEX","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.220912,
"MEX","QGDP","TOT","PC_CHGPP","Q","2018-Q4",-0.244512,
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.160098,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.157319,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.21789,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.56842,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.240978,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.3,
"BEL","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.168656,
"BEL","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.801596,
"BEL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.099857,
"BEL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.289295,
"BEL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.406919,
"BEL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.481821,
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.51253,"P"
"BEL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-12.2,
"ISR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.722588,
"ISR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.733967,
"ISR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.322664,
"ISR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.179685,
"ISR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.002402,
"ISR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.141137,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.733189,
"ISR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.119302,
"TUR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-1.28248,
"TUR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",-2.875105,
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",2.080324,
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.13866,
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.697924,
"TUR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.892596,
"TUR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.615463,
"IND","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.397938,
"IND","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.172754,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.414514,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.90548,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.836469,
"IND","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.860955,
"IND","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.65894,
"LVA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.401989,
"LVA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.011618,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.46779,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.715029,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.581472,
"LVA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.126463,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.900322,
"LVA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.509772,
"CZE","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.55218,
"CZE","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.742058,
"CZE","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.525039,
"CZE","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.533997,
"CZE","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.462778,
"CZE","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.432102,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.379901,
"CZE","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.4,
"POL","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.286755,
"POL","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.75449,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.396837,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.682492,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.218228,
"POL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.201489,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.40394,
"POL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.900092,
"DEU","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.328428,
"DEU","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.338921,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.612223,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.503593,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.309311,
"DEU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.01869,
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.018694,
"DEU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.699976,
"IDN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.265282,
"IDN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.258912,
"IDN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.206548,
"IDN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.252182,
"IDN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.205692,
"IDN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.183452,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.688346,
"IDN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.948335,
"LUX","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.488529,
"LUX","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.356814,
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.107382,
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q2",2.105387,
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.366309,
"LUX","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.353447,
"LUX","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.92089,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.648958,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.340713,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.803969,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.816711,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.209579,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.362879,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.501986,
"RUS","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.366775,
"RUS","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.42882,
"RUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.026176,
"RUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.609877,
"RUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.438455,
"RUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.517314,
"RUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.266916,
"PRT","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.438544,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.435649,"P"
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.721818,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.49135,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.260454,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.728546,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.756566,"E"
"PRT","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-14.1,
"ITA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.079039,
"ITA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.15515,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.198379,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.105368,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.00522,
"ITA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.228506,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.380668,
"ITA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-12.357947,
"AUT","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.227832,
"AUT","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.74677,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.884115,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.019986,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.227056,
"AUT","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.224614,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.392569,
"AUT","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.73742,
"IRL","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.917942,
"IRL","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.265712,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.96091,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",2.312743,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.281476,
"IRL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.407423,
"IRL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",1.229403,
"CHE","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.332158,
"CHE","QGDP","TOT","PC_CHGPP","Q","2018-Q4",-0.064122,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.378886,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.359101,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.44012,
"CHE","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.337712,
"CHE","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.60701,
"NZL","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.535249,
"NZL","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.010134,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.434948,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.109016,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.794107,
"NZL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.478941,
"NZL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.5939,
"CHN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.5,
"CHN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.3,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",2,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.2,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.4,
"CHN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.3,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-10,
"CHN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",11.5,
"CHL","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.13144,
"CHL","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.917788,
"CHL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.114972,
"CHL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.943877,
"CHL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.770257,
"CHL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-4.151057,
"CHL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",2.975585,
"CHL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.21523,
"SWE","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.445348,
"SWE","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.178793,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.208845,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.062324,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.246113,
"SWE","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.0232,
"SWE","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.121829,
"SWE","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.599972,
"FRA","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.355482,
"FRA","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.653453,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.545837,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.247372,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.157797,
"FRA","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.185553,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.939611,
"FRA","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-13.815177,
"GRC","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.915537,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.56497,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.240758,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.028416,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.410415,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.687642,"P"
"GRC","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.597933,"P"
"OECDE","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.119772,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.143616,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.727738,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.254996,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.392727,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.258824,
"OECDE","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.783155,
"G-7","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.214458,
"G-7","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.36207,
"G-7","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.639451,
"G-7","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.240792,
"G-7","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.423705,
"G-7","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.044198,
"G-7","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.99515,
"G-7","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.735595,
"G-20","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.662095,
"G-20","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.63107,
"G-20","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.817121,
"G-20","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.666832,
"G-20","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.695163,
"G-20","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.562774,
"G-20","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.4,
